Warnings (1):
content 221869 _a-0000def2-cb5b-8000-9ba2-011c48011c48_237041 "UAP_filterGraduateTestScores": The object references the deleted type [{urn:com:appian:types:UAP}UAP_testScore?list^12]. The deleted type will not be included in the export and references to the type have been updated to point to [{urn:com:appian:types:UAP}UAP_testScore?list], which must be present on the target system or included in this package. After importing, please verify that the object works as expected. (APNX-2-4053-003)

Success (537):
datatype 7642 {urn:com:appian:types:UAP}UAP_reference "{urn:com:appian:types:UAP}UAP_reference"
content 208115 _a-0000dec3-7017-8000-9ba2-011c48011c48_223249 "UAP_AT_NOTE_ADDED"
content 208496 _a-0000dec3-7017-8000-9ba2-011c48011c48_223717 "UAP_AT_SUBMITTED_PROGRAM_REVIEW"
content 204299 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219354 "UAP_PH_DROPDOWN_DEFAULT"
content 203673 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218652 "UAP_RT_GRAD_ADMISSION"
content 209107 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218628 "UAP_s_auditHistory"
content 208676 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218639 "UAP_getAuditHistory"
content 231263 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218640 "UAP_displayRichTextErrorMessage"
content 204284 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218654 "UAP_T_LEVEL_ONE"
content 208350 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218691 "UAP_pg_notes"
content 216969 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218704 "UAP_pg_programDirectors"
content 204576 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218746 "UAP_s_notes"
content 203762 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218765 "UAP Icons"
content 203763 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218766 "UAP_Img_Yellow_Edit_Pencil"
content 203766 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218769 "UAP_ICON_YELLOW_EDIT_PENCIL"
content 203776 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218779 "UAP_BTN_ADD_NOTE"
content 208224 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218783 "UAP_editProgramDirectorIcon"
content 210480 _a-0000decc-9caf-8000-9ba2-011c48011c48_225958 "UAP_INS_SUNSHINE_LAW"
content 210483 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218793 "UAP_f_applicationNote"
content 204874 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218816 "UAP_T_LEVEL_TWO"
content 204282 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218819 "UAP_T_LEVEL_THREE"
content 204281 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218824 "UAP_GRP_ALL_USERS"
content 204583 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218900 "UAP_getApplicationNote"
content 204225 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219280 "UAP_TYP_SCORING_TYPE"
content 209290 _a-0000dec3-7017-8000-9ba2-011c48011c48_224619 "UAP_TYP_REQUIREMENT_ITEM"
content 220390 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_218990 "UAP_s_editProgram"
content 204080 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219126 "UAP_BTN_DONE"
content 204149 fe6bf72c-45b2-4eb7-937c-3ecf526426ae "UAP_userIsStillDirector"
content 204199 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219243 "UAP_T_MANAGE_DIRECTORS_INST"
content 204218 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219273 "UAP_DS_REFERENCE"
content 227187 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219272 "UAP_getReference"
content 204221 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219276 "UAP_TYP_LEVEL_2_NAME"
content 204223 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219278 "UAP_TYP_ADMISSION_STYLE"
content 230903 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219281 "UAP_getGraduateApplication"
content 209447 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219282 "UAP_filterReferenceListByRefType"
content 204234 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219289 "UAP_ucArrayPickerFilter"
content 221387 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219291 "UAP_DS_GRADUATE_APPLICATION"
content 204855 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219295 "UAP_V_DS_GRADUATE_APPLICATION"
content 221982 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219299 "UAP_v_getGraduateApplication"
content 204245 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219300 "UAP_c_customPicker"
content 204866 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219304 "UAP_c_level2Picker"
content 204296 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219351 "UAP_TYP_LEVEL_3_NAME"
content 216971 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219571 "UAP_T_MANAGE_PROGRAMS_INST"
content 204524 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219584 "UAP_DS_REVIEWER"
content 204668 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219583 "UAP_getReviewer"
content 215747 _a-0000dee0-8e2c-8000-9ba2-011c48011c48_231688 "UAP_T_NOT_RECEIVED"
content 215749 _a-0000dee0-8e2c-8000-9ba2-011c48011c48_231690 "UAP_T_COMPLETE"
content 215748 _a-0000dee0-8e2c-8000-9ba2-011c48011c48_231689 "UAP_T_RECEIVED"
content 231292 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219621 "UAP_displayDocumentRichText"
content 204639 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219697 "UAP_stripReviewersNoPk"
content 204706 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219729 "UAP_stripActiveReviewers"
content 204701 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219758 "UAP_intersectsAtIndex"
content 208851 _a-0000dec3-7017-8000-9ba2-011c48011c48_224106 "UAP_N_ENGLISH_PROFICIENCY"
content 209450 _a-0000dec3-7017-8000-9ba2-011c48011c48_224814 "UAP_N_CONDUCT_CLEARANCE"
content 236338 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219805 "UAP_f_application"
content 204824 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219907 "UAP_displayUsersFromString"
content 204955 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219910 "UAP_N_DISPLAY_X_REVIEWERS"
content 204821 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219929 "UAP_N_VERIFIED"
content 231086 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_219875 "UAP_eg_checklist"
content 204954 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_220061 "UAP_N_MAX_REVIEWERS"
content 205006 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_220117 "UAP_GRP_GRADUATE_ADMISSIONS_COORDINATOR"
content 205010 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_220122 "UAP_validateTextLength"
content 211974 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_220136 "UAP_u_captureAuditHistory"
content 211980 _a-0000decc-9caf-8000-9ba2-011c48011c48_227755 "UAP_T_REVIEWER_AH"
content 208255 _a-0000dec3-7017-8000-9ba2-011c48011c48_223405 "UAP_REF_SCORING_LIKERT"
content 208254 _a-0000dec3-7017-8000-9ba2-011c48011c48_223404 "UAP_REF_SCORING_PERCENTAGE"
content 215710 _a-0000deb5-0bcc-8000-9ba2-011c48011c48_220151 "UAP_f_review"
content 231063 _a-0000dec3-7017-8000-9ba2-011c48011c48_223313 "UAP_N_TRANSCRIPT"
content 209296 _a-0000dec3-7017-8000-9ba2-011c48011c48_223314 "UAP_N_GPA"
content 231065 _a-0000dec3-7017-8000-9ba2-011c48011c48_223315 "UAP_N_TEST_SCORE"
content 231066 _a-0000dec3-7017-8000-9ba2-011c48011c48_223319 "UAP_N_RESUME"
content 231072 _a-0000dec3-7017-8000-9ba2-011c48011c48_223326 "UAP_N_SUPPLEMENTAL"
content 231069 _a-0000dec3-7017-8000-9ba2-011c48011c48_223327 "UAP_N_REC_1"
content 231070 _a-0000dec3-7017-8000-9ba2-011c48011c48_223328 "UAP_N_REC_2"
content 231071 _a-0000dec3-7017-8000-9ba2-011c48011c48_223329 "UAP_N_REC_3"
content 211341 _a-0000dec3-7017-8000-9ba2-011c48011c48_223347 "UAP_getReviewCycle"
content 210845 _a-0000dec3-7017-8000-9ba2-011c48011c48_223357 "UAP_getGradScore"
content 231042 _a-0000dec3-7017-8000-9ba2-011c48011c48_223359 "UAP_buildRequirementList"
content 209441 _a-0000dec3-7017-8000-9ba2-011c48011c48_224805 "UAP_T_OPTIONAL_REQUIREMENT"
content 231078 _a-0000dec3-7017-8000-9ba2-011c48011c48_223395 "UAP_c_chooseRequirements"
content 210731 _a-0000dec3-7017-8000-9ba2-011c48011c48_223402 "UAP_REF_SCORING_ADMIT_DENY"
content 226603 _a-0000dec3-7017-8000-9ba2-011c48011c48_223518 "UAP_AT_REVIEW"
content 210691 _a-0000dec3-7017-8000-9ba2-011c48011c48_223541 "UAP_f_manageDesignees"
content 209974 _a-0000decc-9caf-8000-9ba2-011c48011c48_225407 "UAP_REF_ADMIT"
content 209978 _a-0000decc-9caf-8000-9ba2-011c48011c48_225411 "UAP_REF_WAITLIST"
content 209977 _a-0000decc-9caf-8000-9ba2-011c48011c48_225410 "UAP_REF_DENY"
content 221542 _a-0000dec3-7017-8000-9ba2-011c48011c48_223542 "UAP_s_review"
content 210689 _a-0000dec3-7017-8000-9ba2-011c48011c48_223550 "UAP_grl_manageDesignees"
content 208385 _a-0000dec3-7017-8000-9ba2-011c48011c48_223575 "UAP_BTN_SAVE"
content 208389 _a-0000dec3-7017-8000-9ba2-011c48011c48_223576 "UAP_BTN_PROGRAM_REVIEW"
content 208391 _a-0000dec3-7017-8000-9ba2-011c48011c48_223580 "UAP_T_MANAGE_DESIGNEES_INST"
content 220487 _a-0000dec3-7017-8000-9ba2-011c48011c48_223654 "UAP_getGradAppDetails"
content 208487 _a-0000dec3-7017-8000-9ba2-011c48011c48_223707 "UAP_buildAuditHistory"
content 227036 _a-0000dec3-7017-8000-9ba2-011c48011c48_223714 "UAP_AT_CHEKLIST_UPDATED"
content 216462 _a-0000dec3-7017-8000-9ba2-011c48011c48_223740 "UAP_displayBooleanRichText"
content 226600 _a-0000dec3-7017-8000-9ba2-011c48011c48_223961 "UAP_BTN_UPDATE_CHECKLIST"
content 208784 _a-0000dec3-7017-8000-9ba2-011c48011c48_224029 "UAP_N_DEFAULT_TEXT_LENGTH"
content 209012 _a-0000dec3-7017-8000-9ba2-011c48011c48_224282 "UAP_TYP_CHECKLIST_STATUS"
content 231068 _a-0000dec3-7017-8000-9ba2-011c48011c48_224630 "UAP_N_STATEMENT_OF_PURPOSE"
content 209478 d1eb6dff-b928-4f85-85fd-76aa239129b6 "UAP_determineReviewVisability"
content 210452 _a-0000dec3-7017-8000-9ba2-011c48011c48_224832 "UAP_reqVerificationSaveInto"
content 209549 _a-0000decc-9caf-8000-9ba2-011c48011c48_224942 "UAP_T_VERIFY_REQUIREMENTS"
content 209553 _a-0000decc-9caf-8000-9ba2-011c48011c48_224946 "UAP_INS_VERIFY_REQUIREMENTS"
content 209846 _a-0000decc-9caf-8000-9ba2-011c48011c48_225261 "UAP_T_REVIEWS_EXPOSED"
content 209849 _a-0000decc-9caf-8000-9ba2-011c48011c48_225264 "UAP_T_REVIEWS_HIDDEN"
content 209768 _a-0000decc-9caf-8000-9ba2-011c48011c48_225183 "UAP_AT_VISIBILITY"
content 209742 _a-0000decc-9caf-8000-9ba2-011c48011c48_225154 "UAP_T_EXPOSE_REVIEW_VALUES"
content 211355 _a-0000decc-9caf-8000-9ba2-011c48011c48_225150 "UAP_f_exposeReviews"
content 211909 _a-0000decc-9caf-8000-9ba2-011c48011c48_227653 "UAP_N_GPA_RECOMMENDATION"
content 209867 _a-0000decc-9caf-8000-9ba2-011c48011c48_225282 "UAP_T_DIRECTOR_REC"
content 210416 _a-0000decc-9caf-8000-9ba2-011c48011c48_225886 "UAP_STATUS_GAC_DECISION"
content 226840 _a-0000decc-9caf-8000-9ba2-011c48011c48_225280 "UAP_f_directorRecommendation"
content 209870 _a-0000decc-9caf-8000-9ba2-011c48011c48_225283 "UAP_TYP_DIRECTOR_REC"
content 216573 _a-0000dee0-8e2c-8000-9ba2-011c48011c48_232678 "UAP_T_STAGE"
content 210974 _a-0000decc-9caf-8000-9ba2-011c48011c48_226563 "UAP_TYP_REVIEW_STATUS"
content 231319 _a-0000decc-9caf-8000-9ba2-011c48011c48_225393 "UAP_s_filtersDirectorDashboard"
content 210993 _a-0000decc-9caf-8000-9ba2-011c48011c48_226593 "UAP_reviewCompleteFormat"
content 210748 f4488613-dbe8-4f75-a075-7d3b34a940f7 "UAP_decisionNullCheck"
content 226181 _a-0000decc-9caf-8000-9ba2-011c48011c48_225394 "UAP_pg_directorDashboard"
content 210116 _a-0000decc-9caf-8000-9ba2-011c48011c48_225553 "UAP Templates"
content 216507 _a-0000decc-9caf-8000-9ba2-011c48011c48_225554 "UAP Missing Documents Email"
content 210118 _a-0000decc-9caf-8000-9ba2-011c48011c48_225555 "UAP_DOC_MISSING_DOC_TEMPLATE"
content 210158 _a-0000decc-9caf-8000-9ba2-011c48011c48_225595 "UAP_DOC_MISSING_DOC_EXAMPLE"
content 216438 _a-0000dee0-8e2c-8000-9ba2-011c48011c48_232514 "UAP_TYP_MISSING_DOC"
content 210133 _a-0000decc-9caf-8000-9ba2-011c48011c48_225570 "HRO_INS_MISSING_DOCUMENT"
content 210165 _a-0000decc-9caf-8000-9ba2-011c48011c48_225602 "UAP_T_MISSING_DOC_EMAIL"
content 210132 _a-0000decc-9caf-8000-9ba2-011c48011c48_225569 "HRO_T_MISSING_DOCUMENT"
content 231157 _a-0000decc-9caf-8000-9ba2-011c48011c48_225557 "UAP_f_missingDocument"
content 216506 _a-0000decc-9caf-8000-9ba2-011c48011c48_225592 "UAP Missing Documents Email Example"
content 210164 _a-0000decc-9caf-8000-9ba2-011c48011c48_225601 "UAP_AT_MISSING_DOC_EMAIL"
content 216528 _a-0000decc-9caf-8000-9ba2-011c48011c48_225607 "UAP_T_MISSING_DOC_SUBJECT"
content 210290 _a-0000decc-9caf-8000-9ba2-011c48011c48_225743 "UAP_V_DS_DIRECTOR_DASH_APP"
content 236909 _a-0000decc-9caf-8000-9ba2-011c48011c48_225732 "UAP_v_getDirectorDashApplication"
content 210386 _a-0000decc-9caf-8000-9ba2-011c48011c48_225847 "UAP_REF_DECISION_CODE"
content 210387 _a-0000decc-9caf-8000-9ba2-011c48011c48_225848 "UAP_s_batchRecommendationButtons"
content 210413 _a-0000decc-9caf-8000-9ba2-011c48011c48_225882 "UAP_STATUS_INITIAL_REV"
content 210414 _a-0000decc-9caf-8000-9ba2-011c48011c48_225883 "UAP_STATUS_DIRECTOR_REV"
content 210417 _a-0000decc-9caf-8000-9ba2-011c48011c48_225887 "UAP_STATUS_ADMITTED"
content 210418 _a-0000decc-9caf-8000-9ba2-011c48011c48_225888 "UAP_STATUS_DENIED"
content 210419 _a-0000decc-9caf-8000-9ba2-011c48011c48_225889 "UAP_STATUS_WAITLISTED"
content 210420 _a-0000decc-9caf-8000-9ba2-011c48011c48_225890 "UAP_STATUS_WITHDRAWN"
content 210449 _a-0000decc-9caf-8000-9ba2-011c48011c48_225899 "UAP_constructAuditHistoriesForDashboard"
content 211356 _a-0000decc-9caf-8000-9ba2-011c48011c48_227005 "UAP_T_GA_DECISION"
content 211357 _a-0000decc-9caf-8000-9ba2-011c48011c48_225903 "UAP_typeConstuctorAuditHistory"
content 227252 b066ff66-4448-4fc0-ac92-cbe5f9428859 "UAP_returnVerificationChanges"
content 210654 _a-0000decc-9caf-8000-9ba2-011c48011c48_226128 "UAP_displayVerificationIcon"
content 210670 _a-0000decc-9caf-8000-9ba2-011c48011c48_226179 "UAP_DS_DESIGNEE"
content 210671 _a-0000decc-9caf-8000-9ba2-011c48011c48_226178 "UAP_getDesignee"
content 215555 448544b9-e5cd-4a23-8ee4-366ccfeda122 "UAP_directorDashboadButtonValidation"
content 210797 _a-0000decc-9caf-8000-9ba2-011c48011c48_226361 "UAP_V_DS_FACULTY_REVIEWER"
content 221985 _a-0000decc-9caf-8000-9ba2-011c48011c48_226356 "UAP_v_getFacultyReviewer"
content 210812 bae9da06-8011-42db-b18f-4347a2375c9f "UAP_dirDashAvgScore"
content 210849 _a-0000decc-9caf-8000-9ba2-011c48011c48_226422 "UAP_textContainsString"
content 210913 _a-0000decc-9caf-8000-9ba2-011c48011c48_226498 "UAP_N_NO_SCORE"
content 210920 _a-0000decc-9caf-8000-9ba2-011c48011c48_226505 "UAP_T_NO_SCORE"
content 216733 _a-0000decc-9caf-8000-9ba2-011c48011c48_226494 "UAP_facultyReviewerScore"
